Id,modularity_class
1467263724604084238,1
837793998,4
282132526,4
1321486243654471692,2
2977443759,2
1204519617663778817,3
1388985960118038531,1
2346955005,2
431223267,3
1427836356177403912,3
127596153,2
3380830205,4
1404833344437768197,2
572873975,4
1240620423731130368,3
17995170,2
1465549240965414914,2
1246214176193884162,1
157702178,4
1055917372622684160,4
2202387091,3
1453323654113239050,4
3246417142,4
247429660,4
791821502,1
1283941506987040768,2
1375890746797068292,3
1416180625791459328,3
48372532,4
70539007,1
1460256939577946114,3
1304962517635149831,3
278245183,2
2221947644,4
1409145530140311556,2
1266063276615569412,4
302690450,4
1082755881958293505,2
393714618,2
229622369,3
1386771114769096704,1
1274207975750631425,1
1295025286531166208,3
813038373850017792,3
782704786059694080,3
1451292968468500483,1
1461391414428897285,3
1318643849372291074,4
1461413635452977163,2
1211798817730809856,4
1286298684473454593,2
93463270,1
1551630842,1
1349303217520304129,3
1395240570306666497,4
1144747558218211329,3
561500682,3
1235211366698491905,2
772397154,1
1220081552,1
1346221534365544448,1
50981729,3
3310858343,2
3044447884,1
1384981471274967043,3
2228974487,3
1242846770452987904,3
1123486726293475329,3
1408928955856560128,1
1393036527450697729,3
1185514547404328960,3
1456036209961095175,4
374155301,2
76142245,1
1102647379,4
49849732,3
2651278155,1
1626392431,2
341632775,1
1475847791314444288,3
583069323,4
2890024156,4
1200916684313448455,4
266925331,3
423936803,2
286441021,1
3121291790,2
126120983,3
249848803,1
1473209256,1
292712806,4
849284687621238789,4
112289128,3
141186878,3
1222384739434291200,3
1312470881470472193,1
126496431,3
4033430596,2
857374926940098561,2
1313684266035884033,2
1072226945306427392,1
2288813028,4
189280164,3
1266394517437124609,4
2235050528,3
3333617529,4
1422297339591593985,4
1472648318316646408,1
1161368746436583426,3
932614326,3
1310341532214603776,3
1300985434349080576,3
68506967,1
2278019709,4
1256195147861278721,3
49681553,1
1452682433745260549,1
1284587491715166211,2
12538512,2
1262966228,3
1451407963,3
1366813432385839110,3
757506295,3
177351099,1
551960290,4
148189541,3
775989403,3
4214262509,4
1179001639820304384,1
51164886,4
1354081990576844800,3
177387547,4
1190752243848495104,3
1385976175755943941,3
970855000539910144,2
1159514202287071238,2
2764302004,4
1424452066991382531,3
790307254847365120,4
1132519767091404800,3
1264748185,3
1077187219926994944,4
1097327266802077701,3
216450918,2
753030928646168576,4
126358723,3
723863467,1
2764965995,1
778370936,2
1264355469142917122,3
114662454,3
932473272,1
1390040862986575883,4
379903569,4
1398791873603506178,4
73760448,3
60158946,4
1432466306553557000,2
1267849400736505857,1
1425305110926827523,3
1102425569835261954,1
1420818509634932736,3
3366870730,3
337936749,4
512665575,4
1139987785090240512,1
1385334720049909761,1
2318732368,4
714560235088781318,3
1203093454856867841,1
1361172187315634183,1
97035718,2
373138480,4
2269826787,4
964979458305417216,4
1463972518814003205,3
2729909152,3
4540879523,1
1211391203200995328,4
221472187,4
108717093,4
1439643049391501315,4
1407345735566344196,3
505110497,3
790956407088701441,2
1380584439495983104,3
845139127154622464,4
1203077843909054464,2
214545266,2
1296460734,1
876497719099092992,3
142481095,2
89502059,4
977276396820197376,1
713479155,2
2949631983,3
1273315437569335303,1
3341784766,3
175901668,4
1304144088963444736,3
1386023196441423883,3
1461805412114743300,1
97956930,3
78480881,4
241263317,3
4078620447,1
1159611413771501569,3
1341162923968880643,4
1011412452695830529,4
280785303,3
849097878,3
1177636811566395393,2
2197086420,4
1100067466926084096,3
309146533,3
1004893262543511557,3
1368900799212978176,3
486181923,4
808145319947042816,1
1446606642464821251,1
1423150631456477195,3
4920543273,4
1438349346584530948,1
278106509,2
3153677850,2
991343128341811200,3
1393193130699153409,3
1248220614483116032,3
3334924203,3
498854643,2
142404272,3
959455682314502144,1
1058512480706682880,1
805785290,4
1024437088069079040,1
981355876714975233,2
3294068696,2
414322687,2
1434573734535475203,3
1365223134,1
1692404862,3
1348124599142244355,1
4495233135,4
137212896,2
110762082,3
1327620362172063744,3
1110249305791758336,3
1207531729331859457,4
1109832070711468033,2
1170461137122603008,3
517116693,3
1113273413446111237,4
930068851001319424,3
1395200800545193984,3
1292570385301606402,3
246614847,3
167995406,2
25185308,2
1469939432954413056,3
1254757078205435905,4
882682591815622656,4
1359510655,2
1318357572324413441,3
1317513979099492353,4
479604644,3
39683468,4
1223751093810814976,3
1472648345004949511,1
1307493697,2
1312838931633836035,4
269585077,3
2176835939,4
1381689610611351554,4
2196083712,2
3145393144,3
247077594,3
318696606,3
530826233,1
110590953,4
1193555267201437697,2
1150842740365832192,1
902972058,4
201366071,2
1437198325313417221,1
833589283,2
1249815526790107140,3
154793089,3
327131440,4
3085321547,3
1541781312,2
325586608,4
48188667,1
946088280944242688,4
138039245,3
745111908,4
339085662,4
2183883100,2
1551561883,3
1215433087879974913,3
1381603180681818116,1
269884425,4
817581877922004993,2
746736615935053828,3
278744310,1
1455891228193591297,3
1123378766334648321,3
1337193381571809280,4
1110193139644579841,2
412723301,3
1517604180,3
1157309085659914240,2
1063526724015718400,3
1391817950659756038,1
415948428,2
1466958841816526851,3
1270732992911233024,4
949027290,3
525414994,4
1346265131894923264,3
31162623,4
1457360889670258692,4
82978962,3
1923714986,4
768276548881420288,1
1142836339206963200,4
1073369576430338050,2
1223604928981192706,4
1458027509409255427,4
1461914101685399553,3
154021500,2
4725994163,2
1471510291112361999,3
1453404969575591939,3
1407203580520579075,3
1329505273095057409,2
1480061502,4
516520917,2
1228742708937789441,4
1414689101584994313,4
1409541358411464709,4
196379041,1
1383924234225815560,3
175806207,2
396931540,4
162781923,4
1108094237336317952,1
1459858100123545601,3
990155082,3
14729296,3
1244757489419198467,1
1009731584,3
228880209,1
1404238969236250630,3
3867288623,2
1451029580404363268,1
2769739521,2
306904374,4
1402378307426041857,3
122998572,3
31274530,3
4870886243,2
1456420000315629576,3
758835996167331840,1
1464972833818398726,3
4765714101,4
1405321231239417856,3
342899418,1
305747236,3
1382870351194038272,3
1230574619016474625,3
157982694,1
152438942,3
1382153129702133761,4
1182809229515771904,4
1350887516963004419,4
1227753566774923266,3
1157753929419153408,3
933739074401251328,1
2373036836,3
736991578565312512,3
1383851236118593538,3
95983841,3
1942695360,4
92314301,1
1452710009826119687,4
1327201488,4
1247609741242662913,1
1152789122022563841,2
172026039,1
78171987,1
981694886838788096,1
1462570610501038082,3
159209732,2
1117451020794253315,2
3064098273,3
3227658998,4
1391131741092564999,1
1134829560317562881,4
1189612497046855688,3
1275296355183996929,3
2248727556,1
1397227859123613698,1
2881162246,3
1086291226104606721,1
1135390392894001152,3
1268291228229140480,2
2437545426,3
1394804484866457600,3
3358090084,2
1412183927494742016,2
1423294103131889670,1
500894086,1
368761224,2
369224189,3
1325965263427219462,2
311208562,3
1195042425057746944,3
3401615164,3
37341338,3
151240056,3
1324346250599256065,3
1395572754,1
1465514175292137472,1
1405166406178676738,3
226756860,1
1395915292019134470,4
1434221431605366788,3
1297304388,2
1401882935675047943,3
1457912487693717507,4
1334218209944276993,3
83496330,3
2274728964,3
206916237,3
143865015,3
291486700,1
2178771985,3
1109541387702276096,1
1247223014443360262,3
406288956,3
1445472362384617472,4
1370055380433264648,1
829302234,3
141004339,2
1391262741516726273,2
376253493,2
2585891901,4
1348214207238598657,3
832271982024601600,3
1319442510616367105,4
3439546246,2
1848977712,3
149653751,3
1388673825940848643,3
708845627992645632,1
3305340125,1
813500680052809729,1
3158509274,3
1471457013771214851,1
3422260493,2
1942532366,1
1145633347,4
1408938534510206980,4
552469095,1
1400318283295887360,4
1130618080751697920,3
1166729750662057984,3
359551566,1
940290565,1
1230640182522675208,3
1456759243944730624,1
1432735179869675522,4
463854681,4
883379031877570562,2
365021475,3
1396139299775582211,1
1045637996156997632,2
822902847964585988,2
1254944450289303555,1
1265365371411988482,2
2736335680,3
1287459545535721472,4
1313898733,4
2716354806,3
1371847732378411015,3
636798615,4
1469732175331438599,3
930990942848454657,2
89581250,4
1442685868746186758,1
1450477952056057862,3
157819544,3
1254782713543847937,3
1419095370802532353,3
890022937,1
1965134983,4
637144771,2
1157715543362850816,3
1393748709196894223,2
1404793266537648128,3
165748292,3
352493488,1
3218850791,1
288900653,4
1381771007430627329,4
1396288465533288448,3
126441603,4
2377701323,1
297410429,1
1155186905526484997,3
119054672,1
127663409,1
43478421,3
1456399888292491272,2
1402857954550988802,3
1192312959080501248,4
2577634392,2
962454752763285504,4
396524153,3
1432419917039652868,4
1392345894691950594,3
193974106,4
857416716149829633,3
143594600,3
1325416961845628929,4
1405892959845900301,4
1009083042760097792,1
148520298,1
1181758368429596672,3
967041230,3
12567222,2
78749804,4
1217042760,3
258648811,4
1334259475373559812,3
1364581431041806337,3
4797772695,2
1199334016610000896,3
1348363064379375617,2
711163483,1
1008377721892888577,1
1347364899991793665,3
1167756343,3
700748373641433088,1
1966635108,3
1036021440636698625,1
964797300,3
203208071,4
1358034823,1
1464022505266552835,3
1093835732,4
1453540252119965697,4
1056267091,1
25846178,3
94736382,2
1158530792122986496,3
1415692177800376329,3
577138235,3
1382037148216492038,4
1443316761315745800,4
820668339479609344,2
1208201202,2
1455287293644873742,1
1254582007629217795,1
716684859104735232,1
1268937766580215809,2
284662187,1
1838068861,1
1179864946387107841,4
380245112,2
1172976413705744384,3
827735141040533504,2
1202995451617824768,3
3875452335,2
1243970204843020288,3
261869748,3
1464991477784788995,1
1296799909597913092,3
887820938,2
994922798962434053,1
884878308932026369,3
1424540103251214338,3
1213547017609203712,1
877715559839879173,4
1138494005275242504,3
3666917177,1
770753166107414528,4
1449765415614308353,1
1153273869270224897,4
893157730529292289,3
1921335528,4
1451018453624803330,4
188596062,4
779839708486664192,2
1390614185202098176,1
1455289363391258624,4
1134965277094027264,3
1111195087,2
806854184054247424,1
1021204281561616385,4
1383420136304955396,3
2175675545,3
714395557,3
1417960646327549957,1
989208250649317384,2
1398675558003793920,4
2420875670,2
1427734473437810696,1
409972738,3
1459172039512801284,3
167455276,4
195932178,2
1466003185,1
2796777471,3
172550656,4
1355705870328492032,3
1389969053968736260,1
52279293,3
141204645,1
446389805,4
1424304283,1
2697115387,3
1426959869190590464,2
3427376773,4
1395510653327183879,3
291828412,1
244105302,4
1452099065378914307,4
984882132299534336,3
1221097353136033793,3
141481031,2
276662356,2
838766622148071424,4
1043011123,2
820361329,3
327907513,4
760307323269160960,2
560566181,3
1198995259843321857,1
43395943,4
2799631468,2
482452876,3
1249683520894664704,2
1445173480970915846,3
755239576785092613,1
1268971528345059334,4
1059211792579248128,2
1186679405839572998,3
1439637877709844482,4
1421514837486706688,3
1454432899252555782,3
788562184318181376,4
976760671,4
113232302,2
1070499926608613377,3
2396340536,4
542818029,3
1294100866971172870,1
1427739172207579142,1
301013190,4
1182235200606134272,3
1075057398,4
1290773702594961408,3
1270714574392553474,3
1154468981585174529,4
1205243801851383809,3
67468903,2
104546389,1
1246943637549862912,3
364252405,1
1343920535349166080,3
1425518491550064643,4
1249087848600477698,3
39531077,1
1029268520,3
156695400,4
997708924273897472,3
3111442894,4
1359976423243603974,3
138574838,3
2931133329,3
2571397918,1
1310593584006082560,4
2440304138,1
845779538370023424,4
1143717800,4
804827784493338624,2
876826506982563844,4
1063771936076046337,2
775214870,2
551442359,4
1385086973250097153,3
262814659,4
1072322101011460098,4
1389758913151737863,3
1447349923222020098,3
1433623250106470400,1
3941920762,3
399444023,4
2583157253,4
1310966949019553794,1
37402785,1
1022122118752993282,3
1300176853710315524,2
242425204,1
1729302205,4
535605390,2
779138729323692032,3
1394319456411824139,4
1579188110,4
56279935,3
519997520,4
976187679707721728,4
127995520,2
1461306853586046977,3
264249889,3
1460942122115375104,3
1395937071819337739,3
875480728749867008,3
3013409745,2
3366537136,3
940649844997283841,4
1433945946644230149,3
285806588,1
1205206002657898496,3
1359813297629851649,1
155757903,1
582375974,2
67323953,2
1444816073950433280,3
842736960,1
2281071032,1
380604883,2
150444438,4
958960459,3
373155832,4
1355520662589288449,4
1396555070766989312,2
3060572121,1
1192625252607631360,3
141341349,2
271632106,3
1190218998,3
2385938486,3
1156358730621104128,4
1402742190909136902,1
298277268,3
1426016587484631042,3
1583242478,1
1005322285,2
1448012703478554639,3
1427913916798185476,4
365077718,1
1240407422,4
100006904,1
1638308714,3
315645132,1
765783162,4
1274858221,3
1211851909453078528,3
274824997,3
1220480933398220801,1
2168699269,4
1402603916819316741,4
1470850261,2
1356998835608956932,3
3355313668,3
1352660767686975489,1
618138950,3
1381396918077693952,1
978304061933006850,3
138232432,1
1317908371207487488,4
62154340,1
1331778194450608128,4
1159883032280621056,3
1404225827412250628,2
827690444,3
1326496385613647872,3
1345433821626433536,3
268322810,4
173218140,2
3025772379,1
2993178855,2
80417990,2
1229281898075172864,3
63697619,4
876817160,4
1305315996157317120,1
1292504348459782145,3
854698848018722816,1
1397240910363217921,4
129807575,3
1398310748271616006,3
1361970060,2
