source,target
1357289797,1
2329393463,5
705377511,6
1454558723423326209,7
1441133174398980100,7
527576955,9
527576955,2
1248093334763122689,5
1286069312567087105,5
280221643,5
507476139,10
520972085,6
577181040,5
795701473258700800,3
65801002,5
382090444,6
905002682,6
510449084,5
1441136661035839499,5
248844856,5
1124073095629824000,5
2320291739,3
244105302,7
1861483081,5
1292504348459782145,2
1255564248,3
1388294423365230594,5
1315408668,1
282132526,8
141290914,6
634682567,5
1346207024787435521,1
128217774,5
1269044417278730240,10
1111644655,10
551442359,6
1586436913,5
1156358730621104128,9
1111195087,5
1113151166332981248,4
1480061502,3
1112797317885841408,5
2805553105,1
1232376638144380928,7
939673813532532736,10
939673813532532736,5
939673813532532736,5
2243950185,1
569265093,7
1270207790108291073,10
1022857696066850822,8
854849312114827264,5
1216915901087469569,8
813038373850017792,5
1445600451076837385,5
724630504805376000,3
1216915901087469569,7
1408641469364252673,10
1464791678208851975,9
768196856023175168,6
1399400205276045313,3
2249747773,6
1399400205276045313,9
1295719973667700739,6
264231475,4
1081060924541276160,5
1003679445801160710,10
489360205,5
2625840637,8
1458827485404041222,5
336332362,6
1072322101011460098,5
700475230964342784,2
2242293609,5
818848708611731456,5
3290338299,8
136698292,7
784592339440373762,2
399444023,2
1293253489645228036,4
1225953006937657344,10
354259977,9
1387100090188316676,10
775168731014201344,5
1156163136803790848,10
740927837906042880,4
104909490,10
214757969,5
2585590025,5
1223604928981192706,6
982832491731083264,10
1289387005948891136,10
244252375,6
788098345227186176,3
1105802408838524928,6
1448676899224440836,5
1440342843940212743,10
1143188510205272064,3
220129551,7
1402378307426041857,8
1499225366,5
932403352402583557,6
1125507961286201344,5
132937980,8
1321093674399338499,3
1441852526903496709,5
1711460798,5
1711460798,10
290632714,5
337936749,5
1219984130936578049,5
1219984130936578049,7
310451959,9
902972058,2
170412267,2
2668276423,6
132345015,2
4086992278,5
1443986173274333206,6
1311412708915523589,4
1000064806064476161,2
2993178855,5
295947212,7
2980562740,7
1139179132477218816,10
972899143,2
735108092002750464,3
1147549117389955072,5
182161964,4
1236863072381349891,6
48213555,5
992265396244725760,3
1236414605536215042,9
1432764243196133379,5
1444290490694782980,8
981355876714975233,2
255761609,7
1359976423243603974,9
1142618690,3
742535097476354050,5
1034192325071790081,3
1441259177335164930,5
2893988470,5
1202272815765970944,10
22807682,8
857306994348314624,1
986432881739386886,5
143494739,8
1084149485889118208,5
1084149485889118208,5
1144218488342552576,3
1443997774249398305,5
2523438525,2
287482738,2
3058372921,7
335084178,10
1388687498075942914,5
1238110454918139904,5
1451262474125254660,2
1254944450289303555,5
68733001,5
48864386,7
