id,label
399,ZuluagaEsFarc
400,LaSeguridadQueNecesitamosEs
401,hidroituango
402,NoMasSeudopresidentes
403,Holograma
404,Fraude
405,NiUnVotoParaZuluaga
406,PapeletaParaRevocarJepYCortes
407,ZuluagaRenunciePorFavor
408,somoscabal
409,NoMas
410,ElPeorGobiernoDeLaHistoria
411,QuePaguen
412,SigoSiendoCabal
413,Cabal
414,FuerzaCabal
415,NoVotoZuluaga
416,CabalPresidente2022
417,sinhonornohayvictoria
418,olobajamosonovotamos
419,ReformaALaJusticiaYa
420,FicoPresidente2022
421,CabalPresidente2026
422,lavozdelpueblo
423,NoAvanzamosCon
424,RenuncieJenniferArias
425,ZuluagaPresiedente
426,YaNoSigoAlCentroDemocratico
427,BandidosCeDemocratico
428,YoNOVotoPorZuluaga
429,YoNoVotoOIZuluaga
430,ChaoUribismo
431,DUQUE2
432,CapitalismoUribista
433,ElMatarife
434,Odebrect
435,LasCosasComoSon
436,ElFinDelCD
437,DeÓscarIvánPienso
438,UribistasPatéticos
439,ElCandidatoUribistaEs
440,Honesta
441,EseManEsZuluaga
442,Petro
443,VagoEnredadorYFantoche
444,RespondeCabal
445,VivaCabal
446,siempreCabal
447,voteCabal
448,todosSomosCabal
449,soycabal
450,100PorCientoCabal
451,reformaalajusticia
452,YoVotoCD100CabalAlSenado
453,YoApoyoMiPolicia
454,Ojalá
455,CabalpresidentadeNarnia
456,Roypayasin
457,centroñeñecratico
458,uribeños
459,nadielescree
460,ratasuribistas
461,CorruptosCayendo
462,UribismoNuncaMás
463,UribismoTraqueto
464,PetroAmponElPuebloNoEsGuevon
465,RazaDeCafres
466,SeremosGobierno
467,PorAmorA
468,Uribismo
469,uribeparaco
470,UribismoRimaConCinismo
471,UribismoNidoDeRatas
472,LaPazNoTieneReversa
473,Ñeñe
474,LaPazParaColombia
475,martuchis
476,FajardoSoloElPactoHistoricoGarantizaElCambio
477,GobiernoCriminal
478,FARC
479,narcotrafico
480,Lamentable
481,URIBESTIAPALOMA1
482,NOMASURIBE1
483,UribeHizoTrizasLaPaz
484,UribeEsElCancerDeColombia
485,FumigacionConGlifosatoYa
486,matarifes
487,BobosConPoder
488,santos
489,UribismoInfame
490,ImpunesTerroristas
491,NarcoEstado
492,SiALaVida
493,LaPazEsElCamino
494,palomaalpacto
495,ChaoUribe
496,NoMasParacosEnElPoder
497,NomasCorruptos
498,yovotoporbarguil
499,PresidenteDeColombia
500,CDHijosdePuta
501,UnAumentoDe
502,NuevosTiempos
503,TrabajenVagos
504,BarguilEsUnBadulaque
505,PAYASO
506,BarguilMiente
507,NoGirarALaIzquierda
508,barguilpresidente
509,ivancepedadeluto
510,nuevostiempos
511,LoscolombianosNolaqueremosRenuncie
512,NOallfracking
513,TodosNosLaJugamosConDavid
514,davidbarguilpresidente
515,nuevos
516,Nuevostiempos
517,porUnPaisMasJusto
518,barguilPresidente
519,Barguilpresidente
520,david
521,DavidBarguil
522,davidpresidente
523,LaBarguilada
524,CoalicionDeLaCorrupcion
525,David
526,Davidbarguil
527,equipoporcolombia
528,DavidBarguilPresidente
529,DAVID
530,equipoporcolombja
531,CalmateUribito
532,YaEstamosCansadosDeEsosViejitos
533,nomaspeñalosa
534,lafacil
535,Mentiroso
536,Estonia
537,empresas
538,starUps
539,cambio
540,EnriquePeñalosa
541,EsteTweet
542,PeñalosaBasura
543,smartvote
544,Bogota
545,peñaloser
546,Bobolardos
547,CanchasSinteticas
548,colecciónDeTuits
549,ColecciónDeTuits
550,PEÑALOSAHABLAMIERDA
551,promesero
552,BusesVolvo
553,PeñalosaEmbustero
554,PeñalosaCulebrero
555,GlasgowCOP26
556,DiversidadyDesorden
557,CoalicionDeLaExperiencia
558,NoMasTibios
559,ChaoPeñalosa
560,TeLoAgradezcoPeroNo
561,HuevosKikes
562,Peñalosa
563,ELNAsesinosyNarcotraficantes
564,cambioradical
565,partidodelau
566,alianzaverde
567,partidoconservador
568,pactohistorico
569,Cínico
570,respect
571,Hampones
572,Comunes
573,PazSinImpunidad
574,NoMasMentiras
575,NoMasBloqueo
576,uribismoinfame
577,narcoestadouribista
578,NiPerdonNiOlvido
579,CacerlParaDeLaCalle
580,FicoElSheriffMayor
581,Unidadsinvetos
582,colombiaenpaz
583,NOesNO
584,Ladrones
585,NiUribeNiPetro
586,CoaliciónDeLaEsperanza
587,PobreH1jue9uta
588,NuncaHabraPaz
589,PorQueNoTeCallas
590,VerdesPorElCambio
591,21N
592,PetroSanguinario
593,Traidor
594,DETERMINOROBODEPLEBISITO
595,DiosyPatria
596,parido
597,CoalicionDeLaEsperanza2022
598,ELN
599,NoAlSocialismo
600,NoMasPetro
601,FalsaPaz
602,SinVerguenzasHPS
603,sosopacientexcolombia
604,UnSoldadoMas
605,liberal
606,Juliánassange
607,coalicionesperanza
608,LosMalparidosDeLosGalan
609,ConcienciaPolitica
610,LosMalparidosDeLosGalán
611,RedGalán
612,RojoGalán
613,SiComoNo
614,NiUnVotoParaLosCorruptos
615,PolitiquerosApatridas
616,QuinteroTeniaRazon
617,JMGalanEsElHombre
618,ElNuevoLiberalismoEsElCamino
619,3Vagos
620,FedericoGutierrez
621,PopulismoEs
622,Tumaco
623,Familia
624,NOMASCORRUPTOS
625,NOMASURIBESTIAS
626,FicoEsFraude
627,NoAlPotDeNayibe
628,RetomadeColombia
629,LiberaciondelCrimen
630,FicoEsCorrupcion
631,Presidente
632,jorgito
