source,target
206486600,151
206486600,152
206486600,153
206486600,154
83861270,155
83861270,156
2197086420,157
2197086420,158
2197086420,159
2197086420,158
2197086420,160
2197086420,161
2197086420,162
2197086420,163
2197086420,164
38670671,165
38670671,165
38670671,166
98781946,167
3544845552,168
3544845552,169
3544845552,170
3544845552,171
3544845552,171
3544845552,172
3544845552,173
3544845552,174
3544845552,174
3544845552,175
3544845552,174
3544845552,176
3544845552,177
3544845552,177
50981729,178
2202387091,179
1466003185,180
1466003185,181
1466003185,182
1466003185,183
1466003185,184
1466003185,185
1466003185,186
1466003185,187
1466003185,188
213769894,189
213769894,189
213769894,190
213769894,190
213769894,191
213769894,192
213769894,137
213769894,147
213769894,137
213769894,193
213769894,189
213769894,194
213769894,190
59705520,195
80417990,166
80417990,15
80417990,15
150444438,196
150444438,197
373138480,198
373138480,199
373138480,200
373138480,201
373138480,202
373138480,203
373138480,66
373138480,204
373138480,205
373138480,206
373138480,207
373138480,208
373138480,208
373138480,209
373138480,205
373138480,210
373138480,211
373138480,209
373138480,208
373138480,212
373138480,137
373138480,66
373138480,213
373138480,214
373138480,215
373138480,216
373138480,212
219990061,217
219990061,218
219990061,219
219990061,220
219990061,219
219990061,169
219990061,219
219990061,219
219990061,137
219990061,219
219990061,221
219990061,222
219990061,219
219990061,169
219990061,219
219990061,113
219990061,219
219990061,115
219990061,219
219990061,14
219990061,223
219990061,224
219990061,219
219990061,225
219990061,169
219990061,137
219990061,137
219990061,226
219990061,227
219990061,219
219990061,137
219990061,219
219990061,227
473338133,228
473338133,229
473338133,119
473338133,229
473338133,230
473338133,231
473338133,222
473338133,198
473338133,232
473338133,233
473338133,232
473338133,66
473338133,233
473338133,234
473338133,235
473338133,230
473338133,235
473338133,236
473338133,38
473338133,137
473338133,66
473338133,51
473338133,237
473338133,238
473338133,236
473338133,236
473338133,236
473338133,236
473338133,236
473338133,236
473338133,236
473338133,236
473338133,236
473338133,236
473338133,236
473338133,239
473338133,235
473338133,236
473338133,236
473338133,239
473338133,236
473338133,239
473338133,236
473338133,240
473338133,239
473338133,236
473338133,236
473338133,236
473338133,236
473338133,236
473338133,51
473338133,236
473338133,241
473338133,236
473338133,242
473338133,236
473338133,243
473338133,239
473338133,235
473338133,236
473338133,235
473338133,236
473338133,234
473338133,239
473338133,239
473338133,239
473338133,244
473338133,245
473338133,246
473338133,247
473338133,248
473338133,247
473338133,247
473338133,247
473338133,247
473338133,249
473338133,250
473338133,251
473338133,252
473338133,251
473338133,251
473338133,251
473338133,252
473338133,115
473338133,253
473338133,254
191465222,38
191465222,255
191465222,256
191465222,38
191465222,257
191465222,258
191465222,259
191465222,137
191465222,260
191465222,137
191465222,261
191465222,262
191465222,263
191465222,264
191465222,265
191465222,266
191465222,38
191465222,43
191465222,267
191465222,268
191465222,269
191465222,270
191465222,258
191465222,271
191465222,272
191465222,273
191465222,274
191465222,275
191465222,276
191465222,277
191465222,278
191465222,279
191465222,280
191465222,258
191465222,280
191465222,38
191465222,280
191465222,281
191465222,277
191465222,278
191465222,38
191465222,282
191465222,137
191465222,283
191465222,284
191465222,274
191465222,258
191465222,273
191465222,285
191465222,286
191465222,258
191465222,287
191465222,288
191465222,289
191465222,258
191465222,290
191465222,291
191465222,258
191465222,38
191465222,258
191465222,258
191465222,268
191465222,292
191465222,268
191465222,258
191465222,268
191465222,137
191465222,268
191465222,292
191465222,273
191465222,38
191465222,145
191465222,267
191465222,293
191465222,294
191465222,295
191465222,296
191465222,297
191465222,38
191465222,298
191465222,299
191465222,258
191465222,137
191465222,300
191465222,38
191465222,258
191465222,137
191465222,273
191465222,145
191465222,301
191465222,137
191465222,302
191465222,303
191465222,304
191465222,305
191465222,38
191465222,137
191465222,306
191465222,137
191465222,159
191465222,307
191465222,145
242425204,308
242425204,309
242425204,155
242425204,310
242425204,311
242425204,312
242425204,309
242425204,313
242425204,314
242425204,313
242425204,314
242425204,315
242425204,315
242425204,316
242425204,308
242425204,309
242425204,317
242425204,318
242425204,317
242425204,318
242425204,319
242425204,318
259748538,320
259748538,320
262814659,1393
350862112,756
350862112,1394
